title,abstract,year,author,doi,generated_abstract,bertscore_f1
Cooperation for competition : linking Ethiopian farmers to markets,"Throughout history, rural smallholders have formed various forms of associations to confront access-barriers to the market. It is estimated that 250 million farmers participate in agricultural cooperatives in developing countries. Agricultural cooperatives are considered to be a fundamental pillar of rural development strategies, as well as a core institution in the process of governance decentralization and agri-business development. In Ethiopia, where agro-ecological conditions are generally favourable, 85 percent of the national population lives in rural areas under subsistence or semi-subsistence regimes. Agricultural cooperatives are advocated by the government as key market institutions to exploit Ethiopia's agricultural growth potential. The scope of this study is to improve the understanding of the role played by cooperative organizations in linking Ethiopian smallholder farmers to emerging markets. Through exploring the evolution of supermarkets, integrated supply chains, and global commodity exchange networks, this study sheds light on the relationship between rural cooperation and farmers' competitiveness. Quantitative data that form the basis for this study were collected from the Highland regions of Ethiopia, in the period between 2003 and 2006. Findings suggest that cooperatives are not a panacea to boost rural competitiveness. Collective action assists smallholders in procuring state subsidy for production, but does not necessarily lead to increased commercialization. Only when collective action involves collective marketing do farmers become more commercial, further improving production volumes and productivity. However, in the process of commercialization and production intensification quality management is often neglected in Ethiopian agricultural cooperatives. This study reveals guidelines for public-private partnerships so that cooperative farmers can maximize commercialization and optimize the balance between quality and productivity.",2009.0,Gian Nicola Francesconi,https://doi.org/10.18174/122089,"This doctoral thesis investigates the dynamics of cooperation among Ethiopian farmers in their efforts to access markets and compete with other producers. Through a mixed-methods approach combining survey data, focus group discussions, and case studies, this research examines the role of market linkages in promoting farmer-led innovation and competitiveness. The findings contribute to our understanding of the complex relationships between market opportunities, institutional support, and farmer-level decision-making processes, shedding light on the potential for cooperation to enhance farmers' livelihoods in the context of market-driven agricultural development.",0.7927122
Numerical solution of interval and fuzzy system of linear equations,"The use of herbicides has been questioned in recent past for their non-target effects. Therefore, we planned to study the effect of pretilachlor on growth and activities of microbes in tropical rice soil under controlled condition at National Rice Research Institute, Cuttack, India. Three pretilachlor treatments, namely, recommended dose at 600 g a.i. ha(-1) (RD), double the recommended dose at 1200 g a.i. ha(-1) (2RD), and ten times of the recommended dose at 6000 g a.i. ha(-1) (10RD) along with control, were imposed. The initial residue (after 2 h of spray) deposits in soil were 0.174, 0.968, and 3.35 μg g(-1) for recommended, double the recommended, and ten times of the recommended doses, respectively. No residue in soil was detected in RD treatment on day 45. The half life values were 16.90, 17.76, and 36.47 days for RD, 2RD, and 10RD treatments, respectively. Application of pretilachlor at 10RD, in general, had significantly reduced the number of bacteria, actinomycetes, fungi, nitrogen fixers, and microbial biomass carbon. Pretilachlor at RD did not record any significant changes in microbial properties compared to control. The results of the present study thus indicated that pretilachlor at RD can be safely used for controlling grassy weeds in rice fields.",2012.0,Suparna Das,https://doi.org/10.1007/s11356-015-6026-x,"This doctoral thesis investigates the numerical solution of interval and fuzzy system of linear equations, with a focus on developing novel methods for solving these complex problems. Employing a combination of mathematical modeling, numerical analysis, and fuzzy logic techniques, this research aims to provide new insights into the convergence properties and stability of interval-valued fuzzy systems. The proposed solutions contribute significantly to the existing literature by offering a more comprehensive understanding of the relationship between interval-valued fuzzy systems and linear equations, with potential applications in various fields such as control theory, optimization, and decision-making.",0.6758628
Preparation and Characterization of Biopolymer Electrolytes Based on Pectin and NaNO3 for Battery Applications,"Abstract Pectin based biopolymer electrolytes have been prepared with different concentrations of sodium nitrate by solution casting technique using distilled water as solvent. The amorphous nature of all the prepared biopolymer electrolytes is confirmed by X-ray diffraction studies. The FTIR studies confirm the complexation between polymer and salt. The ionic conductivity (2.7 × 10–9 S/cm) of pure pectin is enhanced to 4.2 × 10–6 S/cm by doping of NaNO3 salt. The dielectric properties of the pectin/NaNO3 electrolytes are also discussed. The prepared biopolymer electrolytes obey Arrhenius behavior with respect to temperature. The high ionic conductivity, low relaxation time (41.2 mS) and maximum cationic transference number are achieved for 9% of NaNO3 doped biopolymer electrolyte. This highest conductivity polymer electrolyte has been used to construct a battery.",2019.0,M. Vahini,https://doi.org/10.1134/s0965545x19060129,"Here is a potential academic abstract:

This doctoral thesis investigates the preparation and characterization of biopolymer electrolytes based on pectin and sodium nitrate for battery applications. The research focuses on developing novel electrolyte materials that can enhance the performance and durability of lithium-ion batteries, with a particular emphasis on their electrochemical stability, ionic conductivity, and mechanical properties. By combining the unique properties of pectin and NaNO3, this study aims to contribute to the development of more sustainable and efficient battery technologies for various applications in India.",0.7806909
Selection Adaptative d'Operateurs pour l'Optimisation,"Evolutionary Algorithms have demonstrated their ability to address a wide range of optimization problems; but their performance relies on tuning a few parameters, depending on the problem at hand. During this thesis work, we have focused on the development of tools to automatically set some of these parameters, using machine learning techniques. More specifically, we have worked on the following sub-problem: given a number of available variation operators, it consists in selecting which is the best operator to be applied at each moment of the search, based on how the operators have performed up to the given time instant of the current search/optimization process. This approach is applied online, i.e., while solving the problem, using only the history of the current run to evaluate and decide between the operators; this paradigm is commonly referred to as Adaptive Operator Selection (AOS). To do AOS, we need two components: a Credit Assignment scheme, that defines how to reward the operators based on their impact in the search process, and an Operator Selection mechanism that, based on the rewards received, decides which is the best operator to be applied next. The contributions of this thesis, in summary, lie in the proposal and analysis of schemes to solve the AOS problem based on the Multi-Armed Bandit (MAB) paradigm; we have proposed different techniques, in order to enable a MAB algorithm to efficiently cope with the dynamics of evolution and with the very different characteristics of the problems to be tackled. The latest one, referred to as AUC-MAB, is able to efficiently control the application of operators, while being robust with respect to its own parameters.",2010.0,Álvaro Fialho,,"This doctoral thesis, ""Selection Adaptative d'Operateurs pour l'Optimisation"", explores the development and evaluation of adaptive operator selection strategies for optimization problems in complex systems. Through a mixed-methods approach combining machine learning algorithms and expert knowledge, this research investigates the application of novel selection methods to improve the efficiency and effectiveness of optimization solutions. The contribution of this study lies in its innovative approach to operator selection, which has the potential to significantly enhance the performance of complex optimization algorithms in various fields.",0.7708134
The power to produce : the role of energy in poverty reduction through small scale enterprises in the Indian Himalayas,"The potential of modern energy to contribute to increasing incomes for the poor in developing countries is widely recognized, and the topic is receiving increasing attention both from the perspectives of poverty reduction and from the perspective of increasing the financial feasibility of supplying modern energy infrastructure to rural areas. However, understanding of the mechanisms that link energy supply to income generation and of the circumstances and factors that contribute to positive outcomes are lacking. This research provides such understanding based on empirical evidence from fieldwork in India. By taking the perspective of the entrepreneurs in small scale enterprises in rural areas where an energy supply infrastructure is available at village level, the factors that play a role in their decisions to use modern energy in small scale enterprises and the mechanisms that influence the impacts of modern energy in the enterprises are uncovered. This understanding of factors and mechanisms leads to recommendations for policy development and for implementation of policy both in the field of energy supply and of business support, to increase the impacts of modern energy supply on income generation by the poor.",2008.0,Annemarije Kooijman-van Dijk,https://doi.org/10.3990/1.9789036527712,"This doctoral thesis examines the complex interplay between energy access and poverty reduction in the Indian Himalayas through a mixed-methods approach. Through a case study of small-scale enterprises in rural areas, this research investigates how energy availability influences economic growth, employment opportunities, and overall well-being among marginalized communities. The findings contribute to our understanding of the role of energy in poverty reduction and highlight the need for sustainable energy solutions that address the unique challenges faced by these regions.",0.8025363
Survival or Accumulation: Migration and rural households in Burkina Faso,"Migration plays an important role in development and as a strategy for poverty reduction. Burkina Faso, a country where conditions for agriculture are far from favourable, has a long history of migratory movement. Migration within West Africa (continental migration) has since long taken place in response to drought and low agricultural productivity. Migration to destinations outside the African continent and in particular to Western Europe (intercontinental migration) has become more important over the last decades for migrants from Burkina Faso. This study provides a quantitative analysis of the determinants and effects of migration for rural households in four villages on the Central Plateau of Burkina Faso. It sheds new light on the migration-remittances-development debate by analysing migration from a whole-household perspective combining determinants and consequences of migration; by including both the production and the consumption side of the rural household economy in an imperfect market environment; and by allowing for heterogeneity in migration through a distinction of two different migratory movements: continental and intercontinental migration. An extended farm household model that includes a migration component forms the basis of the econometric analysis of cross-section data from 223 households. Findings reveal that the two migratory movements are indeed different strategic decisions. Households with intercontinental migrants are able to overcome entry constraints that exist for this more lucrative (in terms of remittances) form of migration because of their wealth. In an imperfect market environment remittances from intercontinental migration help these households to overcome entry constraints existing for other activities and to greatly improve their welfare. Continental migrants appear to be pushed out due to insufficient land and consumption pressure. Loss of labour negatively influences income generated in labour-intensive activities and household welfare only slightly improves due to the migration induced reduction in household size.",2006.0,Fleur Wouterse,https://doi.org/10.18174/45459,"This doctoral thesis explores the complex relationships between migration and rural households in Burkina Faso, examining how these dynamics influence household survival strategies. Through a mixed-methods approach combining survey data from rural communities with ethnographic fieldwork, this research investigates the ways in which migrants accumulate or survive in rural settings. By contributing to our understanding of the intersectional dimensions of rural poverty and migration, this thesis sheds light on the critical role that households play in shaping their own survival prospects in the face of structural inequality.",0.77900505
Amphibious anthropology : engaging with maritime worlds in Indonesia,their valuable support. This is more than a matter of politeness. My PhD project has never been an individual or closed affair. From its inception it has evolved,2017.0,Annet Pauwelussen,https://doi.org/10.18174/403016,"This doctoral thesis explores the complex and multifaceted nature of maritime worlds in Indonesia through a critical anthropological lens. Employing a qualitative research approach, this study examines the experiences of local communities living along Indonesian coastlines, with a focus on their engagement with marine resources and cultural practices. By contributing to our understanding of the intricate relationships between humans and the sea, this research offers new insights into the anthropology of maritime cultures and the need for more nuanced and inclusive approaches to environmental studies.",0.709795
PERLINDUNGAN HUKUM TERHADAP PEMEGANG HAK MEREK MS GLOW ATAS PERBUATAN PASSING OFF PSTORE GLOW DALAM PERSFEKTIF HAK KEKAYAAN INTELEKTUAL,"Hak Kekayaan Intelektual (HKI) mencakup hak cipta dan hak kekayaan industri seperti merek dagang, paten, desain industri, dan rahasia dagang. Passing off adalah tindakan persaingan tidak sehat dengan meniru atau memanfaatkan reputasi merek lain untuk keuntungan instan. Larangan ini bertujuan melindungi pemilik merek dan konsumen, menjaga kualitas produk/jasa, serta membangun citra positif perusahaan. Undang-Undang No. 20 Tahun 2016 melarang pendaftaran merek yang memiliki kesamaan pada pokoknya atau keseluruhan. Namun, batasannya tidak jelas, seperti pada kasus MS Glow dan PStore Glow yang tetap terdaftar meskipun menawarkan produk serupa, sehingga berpotensi merugikan pemilik merek asli dan konsumen. Sesuai dengan penjelasan latar belakang, identifikasi masalah dalam skripsi ini ialah Bagaimana bentuk perlindungan hukum terhadap pemegang hak atas merek MS Glow atas perbuatan passing off yang dilakukan PStore Glow dilihat dari persfektif Hak Kekayaan Intelektual, Bagaimana akibat hukum terhadap pemegang hak merek MS Glow atas perbuatan passing off yang dilakukan PStore Glow dilihat dari persfektif Hak Kekayaan Intelektual dan Bagaimana penerapan regulasi terkait passing off dalam penyelesaian dipengadilan terkait dengan sengketa antara MS Glow dengan PStore Glow. Penelitian ini memiliki sifat deskriptif analitis karena secara khusus bertujuan untuk mendeskripsikan dan menganalisis gambaran mengenai masyarakat, kelompok tertentu, individu, kondisi, atau fenomena lainnya. Pendekatan penelitian ini yaitu yuridis normatif. Pendekatan yuridis normatif ini ditunjang dan dilengkapi pula dengan pendekatan perundang-undangan (statute approach) dan pendeketan kasus (case approach). Dalam melakukan analisis data, penulis menggunakan teknik berpikir deduktif dan perbandingan hukum. Teknik berpkir bersifat deduktif, dengan penarikan kesimpulan yang menggambarkan masalah umum menuju ke masalah yang lebih khusus. Hasil penelitian ialah Bentuk Perlindungan Hukum Terhadap Pemegang Hak Atas Merek MS Glow Atas Perbuatan Passing Off Yang Dilakukan PStore Glow Dilihat Dari Persfektif Hak Kekayaan Intelektual didalam UU No. 20/2016 memberi perlindungan preventif melalui pendaftaran merek (Pasal 21 ayat 1) dan perlindungan represif melalui hak gugat, tuntutan ganti rugi, atau penghentian penggunaan merek yang menyesatkan (Pasal 76 ayat 1 & Pasal 83 ayat 1). Akibat Hukum Terhadap Pemegang Hak Merek MS Glow atas Perbuatan Passing Off Yang Dilakukan PStore Glow Dilihat Dari Persfektif Hak Kekayaan Intelektual dalam Putusan PN Niaga Surabaya No. 02/Pdt.Sus.HKI/Merek/2022 mewajibkan MS Glow membayar ganti rugi Rp 37,99 miliar, menghentikan penggunaan merek, dan menetapkan PS Glow sebagai pemilik tunggal merek. Penerapan Regulasi Terkait Passing Off Dalam Penyelesaian Di Pengadilan Terkait Dengan Sengketa Antara MS Glow dengan PStore Glow Pengadilan menilai adanya kesamaan pokok antara MS Glow dan PS Glow dalam kelas kosmetik, sehingga tergugat diwajibkan membayar ganti rugi sesuai Pasal 83 ayat 1 UU Merek. Kata Kunci: Perlindungan hukum, Passing Off, Hak Kekayaan Intelektual (HKI)",2025.0,Ved Datar,,"This doctoral thesis examines the relationship between legal frameworks and the exercise of merecultural rights by MS Glow individuals in relation to the passing off of Post Glow products within the context of intellectual property law. Through a critical discourse analysis of relevant case laws and legislation, this research investigates how Indian law regulates the appropriation of cultural heritage and its impact on MS Glow's ability to assert their rights. The study contributes to our understanding of the complex interplay between cultural ownership, intellectual property, and human rights, highlighting the need for greater recognition and protection of MS Glow's cultural rights in India.",0.57254195
Improving fission-product decay data for reactor applications: part I—decay heat,"Abstract Effort has been expended to assess the relative merits of undertaking further decay-data measurements of the main fission-product contributors to the decay heat of neutron-irradiated fissionable fuel and related actinides by means of Total Absorption Gamma-ray Spectroscopy (TAGS - sometimes abbreviated to TAS) and Discrete Gamma-ray Spectroscopy (DGS). This review has been carried out following similar work performed under the auspices of OECD/WPEC-Subgroup 25 (2005–2007) and the International Atomic Energy Agency (2009, 2014), and various highly relevant TAGS measurements completed as a consequence of such assessments. We present our recommendations for new decay-data evaluations, along with possible requirements for total absorption and discrete high-resolution gamma-ray spectroscopy studies that cover approximately 120 fission products and various isomeric states.",2023.0,Alan L. Nichols,https://doi.org/10.1140/epja/s10050-023-00969-x,"This doctoral thesis investigates the development of improved fission-product decay data for reactor applications, with a focus on enhancing the accuracy and reliability of heat flux measurements. The research employed a multi-disciplinary approach, combining experimental techniques with computational modeling to simulate fission product behavior in nuclear reactors. By contributing to the existing body of knowledge on fission product decay data, this study aims to improve the design and operation of nuclear power plants, ultimately enhancing public safety and environmental protection.",0.76928645
"Agriculture, resource management and institutions : a socioeconomic analysis of households in Tigray, Ethiopia","Empirical investigation of the impact of institutional and socioeconomic factors on agricultural productivity and natural resource conditions is important for an informed evaluation of current policies, and to identify areas for future improvements. In this line, the current study addresses three topics of relevance to the process of agricultural intensification and natural resource management in the context of the less-favoured Highlands of Tigray,Ethiopia.The first topic assesses the impact of land contracting, in the form of sharecropping, on plot level crop and land management input use and intensity of use decisions, and the efficiency of resource use by tenants on their own and on sharecropped-in plots. Controlling for other socio-economic and biophysical factors, contrary to the predictions of the Marshallin theory of sharecropping, the study finds no statistically significant impact of tenancy status on input use and resource use efficiency at plot level.The second topic focuses on understanding of farmers' perceptions of rainfall-related production risk and uncertainty in the study area, and investigates how that influences their decisions on the intensity of plot level farm management input use and investment in land management. The findings show that farmers differ highly in their production risk perceptions even they face similar external circumstances and their socioeconomic features are found to account for such differences. Farm management input use and labour investment in land management by farmers did not show statistically significant associations with the risk perception of farm decision-makers.The third topic assesses the effectiveness of the household level labour quota system as a collective resource management institution employed in Tigray, and seeks to identify the household level factors that explain the degree of farmers' (non)-compliance with the system. The results from this assessment indicate the need for adapting the system to the changing socioeconomic circumstances of the households, and creating functional decentralized systems of resource management, considering the economic objectives of the human element.Overall, farmers' decisions on plot level farm management and investment for land improvement, and compliance with collective action institutions are influenced by their socioeconomic and institutional circumstances that require policy consideration. Therefore, policy interventions are necessary to alleviate major constraints for efficient resource use, create production risk management services, and promote self-sustaining systems of communal resource management in the region.",2006.0,Girmay Tesfay Belay,https://doi.org/10.18174/24190,"This doctoral thesis examines the complex relationships between agriculture, resource management, and institutions within households in Tigray, Ethiopia. Using a mixed-methods approach combining survey data from a nationally representative sample of rural households with in-depth interviews and focus group discussions, this research investigates how socioeconomic factors influence household decision-making processes regarding agricultural production, resource allocation, and institutional participation. The study contributes to our understanding of the role of institutions in shaping agricultural practices and resource utilization patterns in rural Ethiopia, highlighting the need for targeted policy interventions to promote sustainable agriculture and equitable development.",0.7887623
Methanolic leaf extract of <i>Punica granatum</i> attenuates ischemia-reperfusion brain injury in Wistar rats: Potential antioxidant and anti-inflammatory mechanisms.,"OBJECTIVES: (MePG) in Wistar rats. MATERIALS AND METHODS: antioxidant activity, and later evaluated on LPS-induced RAW 264.7 cell line assay. Finally, the MePG was evaluated against ischemia-reperfusion (I/R) induced brain injury in Wistar rats. RESULTS: In DPPH, FRAP and ORAC assays, the MePG has exhibited potent antioxidant activity. Further, the MePG has significantly inhibited the generation of nitrite, ROS and TNF-α in LPS-induced RAW 264.7 cell lines. Besides, global ischemia followed by reperfusion caused significant changes in the neurological and behavioral functions in I/R control animals compared to sham control. Additionally, in the I/R control group there was a substantial decrease in the catalase and superoxide dismutase activities; Likewise, reduced glutathione levels reduced and lipid peroxidation levels enhanced significantly. Also, pro-inflammatory cytokines such as TNF-α, IL-6, and ICAM-I were increased and the levels of IL-10 was decreased significantly. Furthermore, the I/R insult caused increase in brain volume and cerebral infarct formation. Similarly, histopathology of the brain tissue revealed hallmarks like necrosis, leukocyte infiltration, cerebral edema and vascular congestion in I/R control. Notably, MePG (200 and 400 mg/kg) pretreatment for 7 days, has attenuated all the I/R-persuaded pathological changes compared to I/R control. In addition, the LC-MS/MS analysis showed presence of acteoside, apigenin, gallic acid, gossypin, pentagalloyl glucose, quercetin, and rutin as major ingredients in the MePG. CONCLUSION: These findings suggest that the MePG possesses significant cerebroprotective activity.",2019.0,Gollapalle Lakshminarayanashastry Viswanatha,https://doi.org/10.22038/ijbms.2018.30660.7389,"This doctoral thesis investigates the methanolic leaf extract of <i>Punica granatum</i> as a potential therapeutic agent for mitigating ischemia-reperfusion brain injury in Wistar rats. Using a combination of biochemical assays and molecular biology techniques, this study evaluates the antioxidant and anti-inflammatory properties of the extract, as well as its neuroprotective effects on rat brains subjected to ischemic insult. The findings of this research contribute significantly to our understanding of the potential therapeutic applications of <i>Punica granatum</i> extracts in the prevention and treatment of cerebral ischemia-reperfusion injury.",0.745491
"Contribuição do ""grupo de apoio à prevenção da incapacidade funcional"" para um grupo de mulheres idosas",Made available in DSpace on 2021-05-14T23:18:25Z (GMT). No. of bitstreams: 0 Previous issue date: 2007-12-18,2007.0,"Melo, Lucia Nunes Pereira",,"This doctoral thesis contributes to the understanding of the role of support groups for preventing functional incapacity in older women. Through a qualitative study involving semi-structured interviews with members of a support group focused on prevening functional incapacities among elderly women, this research examines the social and emotional dynamics that facilitate or hinder the adoption of healthy behaviors and coping strategies among its participants. The findings reveal that the support group's collective efforts to promote empowerment, social connection, and self-efficacy play a crucial role in shaping the experiences and outcomes of its members.",0.6325106
Look-ahead meta-learning for continual learning,"Le problème “d’apprentissage continu” implique l’entraînement des modèles profonds avec une capacité limitée qui doivent bien fonctionner sur un nombre inconnu de tâches arrivant séquentiellement. Cette configuration peut souvent résulter en un système d’apprentissage qui souffre de “l’oublie catastrophique”, lorsque l’apprentissage d’une nouvelle tâche provoque des interférences sur la progression de l’apprentissage des anciennes tâches. Les travaux récents ont montré que les techniques de “méta-apprentissage” ont le potentiel de ré- duire les interférences entre les anciennes et les nouvelles tâches. Cependant, les procé- dures d’entraînement ont présentement une tendance à être lente ou hors ligne et sensibles à de nombreux hyperparamètres. Dans ce travail, nous proposons “Look-ahead MAML (La-MAML)”, un algorithme de méta-apprentissage rapide basé sur l’optimisation pour l’apprentissage continu en ligne et aidé par une petite mémoire épisodique. Ceci est réalisé en utilisant l’équivalence d’un objectif MAML en plusieurs étapes et un objectif d’apprentissage continu “temps conscient”. L’équivalence résulte au développement d’un algorithme intuitif que nous appelons Continual-MAML (C-MAML), utilisant un méta-apprentissage continu pour optimiser un modèle afin qu’il fonctionne bien sur une série de distributions de don- nées changeantes. En intégrant la modulation des taux d’apprentissage par paramètre dans La-MAML, notre approche fournit un moyen plus flexible et efficace d’atténuer l’oubli catas- trophique par rapport aux méthodes classiques basées sur les prieurs. Cette modulation a également des liens avec des travaux sur la métadescendance, que nous identifions comme une direction importante de la recherche pour développer de meilleurs optimiser pour un ap- prentissage continu. Dans des expériences menées sur des repères de classification visuelle du monde réel, La-MAML atteint des performances supérieures aux autres approches basées sur la relecture, basées sur les prieurs et basées sur le méta-apprentissage pour un apprentissage continu. Nous démontrons également qu’elle est robuste et plus évolutive que de nombreuses approches de pointe.",2020.0,Gunshi Gupta,https://doi.org/10.71781/10114,"This doctoral thesis explores the concept of look-ahead meta-learning for continual learning, with a focus on developing and evaluating novel algorithms that enable agents to adapt to changing environments and goals in real-time. Employing a combination of reinforcement learning and meta-learning techniques, this research investigates the effectiveness of look-ahead strategies in improving the robustness and flexibility of agent learning systems. By contributing to the existing literature on continual learning and meta-learning, this thesis provides new insights into the design and optimization of look-ahead algorithms for complex, dynamic environments.",0.63553965
Domestic labour relations in India : Vulnerability and gendered life courses in Jaipur,"This study explores labour relations between domestic workers and employers in India. It is based on interviews with both employers and workers, and ethnographically oriented field work in Jaipur, carried out in 2004-2007. Combining development studies with gender studies, labour studies, and childhood studies, it asks how labour relations between domestic workers and employers are formed in Jaipur, and how female domestic workers trajectories are created. Focusing on female part-time maids and live-in work arrangements, the study analyses children s work in the context of overall work force, not in isolation from it. \n\nDrawing on feminist Marxism, domestic labour relations are seen as an arena of struggle. The study takes an empirical approach, showing class through empiria and shows how paid domestic work is structured and stratified through intersecting hierarchies of class, caste, gender, age, ethnicity and religion. The importance of class in domestic labour relations is reiterated, but that of caste, so often downplayed by employers, is also emphasized. Domestic workers are crucial to the functioning of middle and upper middle class households, but their function is not just utilitarian. Through them working women and housewives are able to maintain purity and reproduce class disctinctions, both between poor and middle classes and lower and upper middle classes. \n\nDespite commodification of work relations, traditional elements of service relationships have been retained, particularly through maternalist practices such as gift giving, creating a peculiar blend of traditional and market practices. Whilst employers of part-time workers purchase services in a segmented market from a range of workers for specific, traditional live-in workers are also hired to serve employers round the clock. Employers and workers grudgingly acknowledged their dependence on one another, employers seeking various strategies to manage fear of servant crime, such as the hiring of children or not employing live-in workers in dual-earning households. \n\nPaid domestic work carries a heavy stigma and provide no entry to other jobs. It is transmitted from mothers to daughters and working girls were often the main income providers in their families. \n\nThe diversity of working conditions is analysed through a continuum of vulnerability, generic live-in workers, particularly children and unmarried young women with no close family in Jaipur, being the most vulnerable and experienced part-time workers the least vulnerable. Whilst terms of employment are negotiated informally and individually, some informal standards regarding salary and days off existed for maids. However, employers maintain that workings conditions are a matter of individual, moral choice. Their reluctance to view their role as that of employers and the workers as their employees is one of the main stumbling blocks in the way of improved working conditions. \n\nKey words: paid domestic work, India, children s work, class, caste, gender, life course",2011.0,Päivi Mattila,,"This doctoral thesis examines the complex dynamics of domestic labour relations in Jaipur, India, with a focus on the intersectional experiences of women and their vulnerability to exploitation. Drawing on a mixed-methods approach combining qualitative interviews and statistical analysis, this research explores the life courses of low-income households and their responses to domestic labour demands. By contributing to existing literature on gendered labour relations and domestic work in South Asia, this thesis sheds light on the ways in which women's lives are shaped by the precarious nature of domestic labour in India.",0.7703972
"Night Work, Rotating Shift Work, and the Risk of Cancer in Japanese Men and Women: The JACC Study","Limited epidemiological evidence has suggested a positive relationship between night shift work and the risk of cancer. Herein, we investigated the prospective association between different forms of work schedule and the risk of numerous cancers and all-cause cancer among Japanese men and women.This cohort study included 45,390 working men and women aged 40-79 years and registered in the Japan Collaborative Cohort Study (JACC Study). The Cox proportional hazards models were used to calculate the hazard ratios (HRs) and their 95% confidence intervals (CIs) for incident cancer among those who reported engagement in night work and rotating shift work for their longest occupations compared with day work.Within a median follow-up duration of 14.2 years, 2,283 (9.4%) men and 1,309 (4.5%) women developed cancer. Among men, rotating shift work was significantly associated with increased risk of esophageal cancer (HR 2.47; 95% CI, 1.42-4.31) and decreased risk of liver cancer (HR 0.54; 95% CI, 0.30-0.98). Also, rotating shift work tended to be associated with the increased risk of prostate cancer (HR 1.42; 95% CI, 0.95-2.12). Night work and rotating shift work were not related to the risk of all-cause cancer in either sex.Rotating shift work might contribute to the increased risk of esophageal cancer and prostate cancer and the decreased risk of liver cancer among Japanese men.",,"Abdellatif, Emadeldin Arafa Ahmed",,"This doctoral thesis investigates the relationship between night work and rotating shift work with cancer risk in Japanese men and women, using data from the Japan Cancer Application Committee (JACC) Study. The research employed a cross-sectional design, analyzing survey responses from over 20,000 participants to examine the associations between night work, rotating shift work, and various types of cancer. By contributing to existing knowledge on occupational health and cancer risk in Asia, this study aims to inform workplace safety regulations and preventive measures for workers exposed to these types of non-traditional working schedules.",0.7775629
Culinary Culture in Colonial India: A Cosmopolitan Platter and the Middle-Class,"This book utilizes cuisine to understand the construction of the colonial middle class in Bengal who indigenized new culinary experiences as a result of colonial modernity. This process of indigenization developed certain social practices, including imagination of the act of cooking as a classic feminine act and the domestic kitchen as a sacred space. The process of indigenization was an aesthetic choice that was imbricated in the upper caste and patriarchal agenda of the middle-class social reform. However, in these acts of imagination, there were important elements of continuity from the pre-colonial times. The book establishes the fact that Bengali cuisine cannot be labeled as indigenist although it never became widely commercialized. The point was to cosmopolitanize the domestic and yet keep its tag of 'Bengaliness'. The resultant cuisine was hybrid, in many senses like its makers",2015.0,Utsa Ray,https://doi.org/10.1017/cbo9781107337503,"This doctoral thesis explores the complex dynamics of culinary culture in colonial India, specifically examining the role of a cosmopolitan platter as a symbol of middle-class identity and its intersection with colonial power structures. Through an ethnographic analysis of foodways in urban India during the British colonial era, this research employs a qualitative methodology to investigate how the production, consumption, and representation of culinary culture reflect and shape social hierarchies. By contributing to a nuanced understanding of the intersections between colonialism, globalization, and culinary practices, this thesis sheds new light on the cultural politics of food in India's colonial past.",0.793932
Variabilidade de agregados graúdos de resíduos de construção e demolição reciclados.,"\n Este trabalho tem como objetivo propor uma metodologia de análise da variabilidade de agregados graúdos de RCD reciclados, que possa ser utilizada em Centrais para o controle de qualidade dos mesmos, objetivando à identificação da influência destas características no desempenho de componentes produzidos a partir dos RCD. Nos três primeiros capítulos, realiza-se uma revisão bibliográfica do assunto, identificando os pontos relevantes do tema, abordando desde Centrais de moagem até desenvolvimento sustentável. No quarto capítulo, discute-se a metodologia de análise proposta, analisando a experimentação realizada em Santo André e no laboratório de materiais de construção da Escola Politécnica da USP. No quinto capítulo, desenvolve-se a análise de resultados e discussões. Nesta etapa, é exposto o estudo da composição de agregados graúdos de RCD reciclados por análise de imagem. Apresentam-se resultados da variabilidade obtidos para os agregados graúdos reciclados de Santo André quanto à composição de fases por separação manual e outras propriedades como materiais pulverulentos, composição granulométrica, índice de forma, absorção e massa específica. Como conclusões, o estudo aponta para a presença da significativa variabilidade em agregados reciclados em todas as propriedades analisadas e a necessidade de realização das mesmas caracterizações para a fração miúda. O uso das propriedades, abosorção de água e massa específica para adeterminação dos teores de concreto e argamassa apresentou bons resultados, aconselhando-se o emprego para a determinação das composições das fases concreto e argamassa em amostras de Centrais de Reciclagem. Os ensaios de caracterização física dos agregados graúdos naturais devem ser empregados para caracterizar esses agregados. A homogeneização da composição deve ser realizada em período superior a dois dias para esta Central. Os agregados, quando empregados em situações mais nobres, devem possuir equipamentos de controle de qualidade, como tanques de flutuação e separação magnética. Constatou-se que a porcentagem retida no fundo pelo ensaio de granulometria e os teores de argamassa têm correlação linear positiva. A análise de imagem pode ser aplicada para o estudo da composição dos agregados graúdos de RCD recilados, pois seus princípios foram comprovados em experimentos de laboratório, quando os grãos são distribuídos de forma aleatória nos plano.\n",2000.0,Sérgio Cirelli Angulo,https://doi.org/10.11606/d.3.2000.tde-05102005-112833,"This doctoral thesis examines the variability of aggregates generated from large-scale construction and demolition waste recycling in India. Through a mixed-methods approach combining field observations, laboratory analysis, and statistical modeling, this research investigates the factors influencing aggregate characteristics, such as particle size distribution, density, and composition. The findings contribute to the development of more efficient and sustainable waste management practices in India by identifying key variables that affect aggregate quality and informing strategies for improving recycling efficiency.",0.5499163
